organism,seedid,kingdom,phylum,class,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,phenotype,imgid,ncbiid,platform,species,file,taxa_id,id,summary_rank,kbaseid
Abiotrophia defectiva ATCC 49176,Abiotrophia defectiva ATCC 49176 (592010.4),Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,Pathogen,631,2428,1250,Eugen Bauer,07/01/14,1,2562617177,592010,ModelSEED,defectiva,Abiotrophia.json,46125,Abiotrophia,genus,
Clostridium sticklandii DSM 519,Clostridium sticklandii DSM 519 (499177.3),Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Acetoanaerobium,Obligate anaerobe,"Proteolytic, non-sachharolytic",Positive,,699,1270,959,Laura Kutt,04/18/16,,649633033,499177,ModelSEED,sticklandii,Acetoanaerobium.json,1511,Acetoanaerobium,genus,kb|g.1828
,Achromobacter xylosoxidans A8 (762376.5),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Aerobe,Respiratory,Negative,,,,,,,,,,,xylosoxidans,Achromobacter.json,85698,Achromobacter,genus,
,,Bacteria,Firmicutes,Negativicutes,,Acidaminococcaceae,Acidaminococcus,Obligate anaerobe,,Negative,,,,,,,,,,Kbase,,Acidaminococcus.json,,Acidaminococcus,genus,kb|g.2555
,,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Aerobe,,Negative,,,,,,,,,,,,Acinetobacter.json,,Acinetobacter,genus,
Actinobacillus pleuropneumoniae L20,Actinobacillus pleuropneumoniae L20 (416269.5),Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Facultative anaerobe,"Saccharolytic, fermentative",Negative,,772,1403,1027,Laura Kutt,06/02/16,,640069302,416269,Kbase,pleuropneumoniae,Actinobacillus.json,715,Actinobacillus,genus,kb|g.1403
,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,,"Saccharolytic, fermentative",Positive,,,,,,,,,,,,Actinomyces.json,,Actinomyces,genus,
Adlercreutzia equolifaciens DSM 19450,,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Obligate anaerobe,"Asaccharolytic, nonfermentative",Positive,Commensal,590,942,813,chenry,09/09/14,,2597489914,1384484,Kbase,equolifaciens,Adlercreutzia.json,446660,Adlercreutzia,genus,
Aerococcus viridans ATCC 11563,Aerococcus viridans ATCC 11563 (655812.3),Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Facultative anaerobe,"Saccharolytic, fermentative",Positive,,667,1209,941,Laura Kutt,04/17/16,,647000207,655812,Kbase,viridans,Aerococcus.json,1377,Aerococcus,genus,kb|g.2789
,,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Facultative anaerobe,,Negative,,,,,Laura Kutt,04/18/16,,,,Kbase,,Aeromonas.json,,Aeromonas,genus,
Aggregatibacter aphrophilus NJ8700,Aggregatibacter aphrophilus NJ8700 (634176.4),Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aerobe,Respiratory,Negative,,730,1294,998,Laura Kutt,04/19/16,,644736324,634176,Kbase,aphrophilus,Aggregatibacter.json,732,Aggregatibacter,genus,kb|g.2675
Agrobacterium tumefaciens F2,Agrobacterium tumefaciens F2 (1050720.3),Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Aerobe,Respiratory,Negative,,1290,1562,1169,,,,,1050720,Kbase,tumefaciens,Agrobacterium.json,358,Agrobacterium,genus,kb|g.23531
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila ATCC BAA-835 (349741.6),Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,643,2274,1275,Eugen Bauer,08/03/14,4,642555104,349741,Kbase,muciniphila,Akkermansia.json,239935,Akkermansia,genus,
,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Aerobe,Respiratory,Negative,,,,,Laura Kutt,,,,,Kbase,faecalis,Alcaligenes.json,511,Alcaligenes,genus,
Afipia birgiae 34632,Afipia birgiae 34632 (1197906.5),Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Alfipia,Obligate aerobe,Respiratory,Negative,,1178,1482,1113,Laura Kutt,04/18/16,,2551306146,1197906,Kbase,birgiae,Alfipia.json,,Alfipia,genus,kb|g.25402
,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Obligate anaerobe,,Negative,,,,,,,,,,,,Alistipes.json,,Alistipes,genus,
Alloprevotella tannerae ATCC 51259,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,809,893,770,Laura Kutt,04/17/16,,,626522,Kbase,tannerae,Alloprevotella.json,76122,Alloprevotella,genus,kb|g.2651
"Anaerobaculum hydrogeniformans OS1, ATCC BAA-1850",Anaerobaculum hydrogeniformans ATCC BAA-1850 (592015.5),Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Anaerobaculum,Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,670,1030,825,Ines Thiele,06/29/12,3,647000209,649746,Kbase,hydrogeniformans,Anaerobaculum.json,649746,Anaerobaculum,genus,
Anaerobiospirillum succiniciproducens DSM 640001,,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Vibrionaceae,Anaerobiospirillum,Anaerobe,Asaccharolytic,Negative,,563,1127,919,Laura Kutt,04/19/16,,,1120988,Kbase,succiniciproducens,Anaerobiospirillum.json,13335,Anaerobiospirillum,genus,kb|g.207031
,,Bacteria,Firmicutes,,,Peptoniphilaceae,Anaerococcus,Obligate anaerobe,,Positive,Commensal,,,,,,4,,,Kbase,,Anaerococcus.json,,Anaerococcus,genus,
Anaerofustis stercorihominis DSM 17244,Anaerofustis stercorihominis DSM 17244 (445971.6),Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,587,986,847,Eugen Bauer,08/03/14,1,641736193,445971,ModelSEED,stercorihominis,Anaerofustis.json,214853,Anaerofustis,genus,
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Obligate anaerobe,,Positive,Commensal,,,,,,,,,,,Anaerostipes.json,,Anaerostipes,genus,
Anaerotruncus colihominis DSM 17241,Anaerotruncus colihominis DSM 17241 (445972.6),Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,754,1090,887,Ines Thiele,04/20/12,4,641736271,445972,Kbase,colihominis,Anaerotruncus.json,169435,Anaerotruncus,genus,
Aneurinibacillus aneurinilyticus ATCC 12856,,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aerobe,Saccharolytic,Positive,,1076,1510,1142,Laura Kutt,04/18/16,,2563366762,649747,Kbase,aneurinilyticus,Aneurinibacillus.json,1391,Aneurinibacillus,genus,kb|g.216026
,Arcanobacterium haemolyticum DSM 20595 (644284.3),Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,,,,chenry,04/15/16,,,,,,Arcanobacterium.json,,Arcanobacterium,genus,
Arcobacter butzleri RM4018,Arcobacter butzleri RM4018 (367737.4),Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Microaerophile,"Non-fermentative, asaccharolytic",Negative,,634,1081,902,Laura Kutt,04/18/16,,640753004,367737,Kbase,butzleri,Arcobacter.json,28197,Arcobacter,genus,kb|g.1095
Arthrobacter castelli DSM 16402,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arthrobacter,Aerobe,"Asaccharolytic, nonfermentative",Positive,Uncharacterized,1019,1428,1109,chenry,04/15/16,,,1121019,Kbase,castelli,Arthrobacter.json,271431,Arthrobacter,genus,kb|g.207043
,,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Atopobium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,,,,chenry,04/15/16,,,,Kbase,,Atopobium.json,,Atopobium,genus,
,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,Positive,,,,,,,,,,,,Bacillus.json,,Bacillus,genus,
,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,,,,,Bacteroides.json,,Bacteroides,genus,
Barnesiella intestinihominis YIT 11860,Barnesiella intestinihominis YIT 11860 (742726.3),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella,Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,622,2235,1282,chenry,09/10/14,,2529292932,742726,Kbase,intestinihominis,Barnesiella.json,487174,Barnesiella,genus,kb|g.27473
Bartonella quintana Toulouse,Bartonella quintana str. Toulouse (283165.4),Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Aerobe,"Strictly respiratory, asaccharolytic",Negative,Pathogen,455,894,753,Eugen Bauer,08/03/14,1,637000028,283165,Kbase,quintana,Bartonella.json,803,Bartonella,genus,
,,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,"Saccharolytic, fermentative",Positive,,,,,,,,,,,,Bifidobacterium.json,,Bifidobacterium,genus,
Bilophila wadsworthia 3_1_6,Bilophila wadsworthia 3_1_6 (563192.3),Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Obligate anaerobe,"Only anaerobic respiration, nonfermentative, asaccharolytic",Negative,Commensal,819,1386,1081,Ines Thiele,06/29/12,1,2562617176,563192,ModelSEED,wadsworthia,Bilophila.json,35833,Bilophila,genus,
Blastococcus massiliensis AP3,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Aerobe,Uncharacterized,Positive,Uncharacterized,805,1324,1048,chenry,04/15/16,,2600255077,1211815,ModelSEED,massiliensis,Blastococcus.json,1470358,Blastococcus,genus,kb|g.208017
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Obligate anaerobe,,Positive,Commensal,,,,,,,,,,,Blautia.json,,Blautia,genus,
Bordetella hinzii OH87 BAL007II,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Bradyrhizobiaceae,Bordetella,Aerobe,Respiratory,Negative,,1236,1557,1157,Laura Kutt,04/18/16,,,1331262,Kbase,hinzii,Bordetella.json,103855,Bordetella,genus,kb|g.240068
Brachybacterium paraconglomeratum LC44,Brachybacterium paraconglomeratum LC44 (1064537.3),Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,"Aerobe, microaerophile",Saccharolytic,Positive,Commensal,909,1413,1061,chenry,04/15/16,,2548876523,1064537,ModelSEED,paraconglomeratum,Brachybacterium.json,173362,Brachybacterium,genus,kb|g.23654
Brachyspira pilosicoli B2904,Brachyspira pilosicoli B2904 (1133568.3),Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Brachyspira,Obligate anaerobe,Saccharolytic,Negative,,725,1195,949,Laura Kutt,04/19/16,,2519103103,1133568,ModelSEED,pilosicoli,Brachyspira.json,52584,Brachyspira,genus,kb|g.24488
,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Bradyrhizobium,Obligate aerobe,Respiratory,Negative,,,,,Laura Kutt,04/18/16,,,,Kbase,,Bradyrhizobium.json,,Bradyrhizobium,genus,
,,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Aerobe,Saccharolytic,Variable,,,,,Laura Kutt,,,,,ModelSEED,,Brevibacillus.json,,Brevibacillus,genus,
,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,Aerobe,"Respiratory, non fermentative",Positive,,,,,chenry,04/15/16,,,,ModelSEED,,Brevibacterium.json,,Brevibacterium,genus,
,,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,,Respiratory,Negative,,,,,Laura Kutt,04/18/16,,,,,,Brevundimonas.json,,Brevundimonas,genus,
Brochothrix thermosphacta DSM 20171 = FSL F6-1036,,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochotrix,Facultative anaerobe,"Saccharolytic, fermentative",Positive,,750,1361,999,Laura Kutt,04/18/16,,,1121126,Kbase,thermosphacta,Brochotrix.json,,Brochotrix,genus,kb|g.240107
Bulleidia extructa W1219,Bulleidia extructa W1219 (679192.3),Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,367,934,742,Laura Kutt,04/18/16,,647000218,679192,ModelSEED,extructa,Bulleidia.json,118748,Bulleidia,genus,kb|g.2936
Burkholderia cepacia GG4,Burkholderia cepacia GG4 (1009846.3),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Microaerophile,"Non-fermentative, asaccharolytic",Negative,,1547,1785,1260,Laura Kutt,04/18/16,,2521172695,1009846,ModelSEED,cepacia,Burkholderia.json,292,Burkholderia,genus,kb|g.23290
Butyricicoccus pullicaecorum 1.2,Butyricicoccus pullicaecorum 1.2 (1203606.4),Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Butyricicoccus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic potential,768,1915,1312,Laura Kutt,04/18/16,,2537561731,1203606,Kbase,pullicaecorum,Butyricicoccus.json,501571,Butyricicoccus,genus,kb|g.31101
,Butyricimonas synergistica DSM 23225 (1121129.3),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas,Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,chenry,04/15/16,,,,Kbase,,Butyricimonas.json,,Butyricimonas,genus,
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,Obligate anaerobe,,Structurally positive but stains negative,Commensal,,,,Ines Thiele,,1,,,Kbase,,Butyrivibrio.json,,Butyrivibrio,genus,
,,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,Negative,,,,,,,,,,,,Campylobacter.json,,Campylobacter,genus,
,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Facultative anaerobe,"Saccharolytic, fermentative",Negative,,,,,chenry,04/15/16,,,,ModelSEED,,Capnocytophaga.json,,Capnocytophaga,genus,
Catenibacterium mitsuokai DSM 15897,Catenibacterium mitsuokai DSM 15897 (451640.5),Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,602,983,830,Ines Thiele,04/20/12,3,643886110,451640,ModelSEED,mitsuokai,Catenibacterium.json,100886,Catenibacterium,genus,
Cedecea davisae DSM 4568,Cedecea davisae DSM 4568 (566551.4),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cedecea,Aerobe,Respiratory,Negative,,1258,2255,1525,Laura Kutt,04/18/16,,2541046972,566551,ModelSEED,davisae,Cedecea.json,158484,Cedecea,genus,kb|g.32230
Cellulosilyticum lentocellum DSM 5427,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,778,1239,948,Laura Kutt,04/18/16,,,642492,ModelSEED,lentocellum,Cellulosilyticum.json,29360,Cellulosilyticum,genus,kb|g.2732
Cellulosimicrobium cellulans J36,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Cellulosimicrobium,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,490,1278,972,chenry,04/15/16,,2508501028,935839,ModelSEED,cellulans,Cellulosimicrobium.json,1710,Cellulosimicrobium,genus,kb|g.216424
Cetobacterium somerae ATCC BAA-47401,,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,845,1323,1029,Laura Kutt,04/18/16,,2558860278,1319815,ModelSEED,somerae,Cetobacterium.json,188913,Cetobacterium,genus,kb|g.209858
,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Facultative anaerobe,,Negative,,,,,,,,,,ModelSEED,,Citrobacter.json,,Citrobacter,genus,
Cloacibacillus evryensis DSM 19522,,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Obligate anaerobe,"Asaccharolytic, fermentative",Negative,,873,1214,993,Laura Kutt,04/19/16,,,866499,ModelSEED,evryensis,Cloacibacillus.json,508460,Cloacibacillus,genus,kb|g.216301
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,3,,,ModelSEED,difficile,Clostridioides.json,1496,Clostridioides,genus,
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,,,,,,,,,,,,,,Clostridium.json,,Clostridium,genus,
,,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,,,,,,,,,ModelSEED,,Collinsella.json,,Collinsella,genus,
Comamonas testosteroni CNB-2,Comamonas testosteroni CNB-2 (688245.4),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Facultative anaerobe,Fermentative,Negative,,1164,1541,1168,,,,,688245,ModelSEED,testosteroni,Comamonas.json,285,Comamonas,genus,kb|g.2973
,Coprobacillus sp. 29_1 (469596.3),Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,,,,Ines Thiele,,,,,ModelSEED,,Coprobacillus.json,100883,Coprobacillus,genus,
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,,,,,,,,,ModelSEED,,Coprococcus.json,,Coprococcus,genus,kb|g.3102
,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Facultative anaerobe,,Positive,,,,,chenry,04/15/16,,,,,,Corynebacterium.json,,Corynebacterium,genus,
Cronobacter sakazakii ATCC BAA-894,Cronobacter sakazakii ATCC BAA-894 (290339.8),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,Facultative anaerobe,"Fermentative, respiratory",Negative,,1132,1685,1175,Laura Kutt,04/18/16,,640753022,290339,ModelSEED,sakazakii,Cronobacter.json,28141,Cronobacter,genus,kb|g.683
Cryptobacterium curtum DSM 15641,Cryptobacterium curtum DSM 15641 (469378.4),Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Ctyptobacterium,Obligate anaerobe,"Asaccharolytic, nonfermentative",Positive,Commensal,438,917,777,chenry,04/15/16,,644736346,469378,ModelSEED,curtum,Ctyptobacterium.json,,Ctyptobacterium,genus,kb|g.1643
Curtobacterium flaccumfaciens UCD-AKU,Curtobacterium flaccumfaciens UCD-AKU (1292022.3),Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,Obligate aerobe,Saccharolytic,Positive,,820,1319,1026,chenry,04/15/16,,2547132189,1292022,ModelSEED,flaccumfaciens,Curtobacterium.json,2035,Curtobacterium,genus,kb|g.31863
Delftia acidovorans SPH-1,Delftia acidovorans SPH-1 (398578.3),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Facultative anaerobe,Fermentative,Negative,,1319,1692,1214,Laura Kutt,04/18/16,,641228489,398578,ModelSEED,acidovorans,Delftia.json,80866,Delftia,genus,kb|g.1274
Dermacoccus nishinomiyaensis,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Dermacoccus,Obligate aerobe,"Saccharolytic, respiratory",Positive,,740,1338,1048,chenry,04/15/16,,2588253755,1274,Kbase,nishinomiyaensis,Dermacoccus.json,1274,Dermacoccus,genus,kb|g.244937
,,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,,Negative,,,,,,,,,,,,Desulfovibrio.json,,Desulfovibrio,genus,kb|g.207114
,,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Obligate anaerobe,Fermentative,Negative,Commensal,,,,Laura Kutt,04/18/16,,,,ModelSEED,,Dialister.json,,Dialister,genus,
Dietzia cinnamea P4,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia,Obligate aerobe,Saccharolytic,Positive,,764,1300,1032,chenry,04/15/16,,649989929,910954,ModelSEED,cinnamea,Dietzia.json,321318,Dietzia,genus,kb|g.28335
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,,,,,,,,,ModelSEED,,Dorea.json,,Dorea,genus,kb|g.1356
,,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Aerobe,"Saccharolytic, fermentative",Negative,,,,,,,,,,ModelSEED,,Dyadobacter.json,,Dyadobacter,genus,
Dysgonomonas gadei ATCC BAA-286,Dysgonomonas gadei ATCC BAA-286 (742766.3),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas,Facultative anaerobe,"Saccharolytic, fermentative",Negative,,834,2280,1421,chenry,04/15/16,,651324026,742766,ModelSEED,gadei,Dysgonomonas.json,156974,Dysgonomonas,genus,kb|g.3127
