day,flux,compartment,metabolite
21,0.003035238883527,Caecum,Butyrate
14,0.0027338933339532,Caecum,Butyrate
42,0.0047941967872757,Caecum,Butyrate
7,0.0036035069748129,Caecum,Butyrate
14,0.005478931854559,Duodenum,Butyrate
21,0.0049790818906105,Duodenum,Butyrate
42,0.0049851676089529,Duodenum,Butyrate
7,0.0032376391640221,Duodenum,Butyrate
14,0.0050421452577047,Jejunum,Butyrate
21,0.0045130351686148,Jejunum,Butyrate
42,0.0048322761136317,Jejunum,Butyrate
7,0.0039289301490844,Jejunum,Butyrate
21,0.0060831991897859,Caecum,Isobutyrate
14,0.0041389611251716,Caecum,Isobutyrate
42,0.0170201509708466,Caecum,Isobutyrate
7,0.0049283403035096,Caecum,Isobutyrate
21,0.0034777229471958,Caecum,Isovalerate
14,0.0021707828766723,Caecum,Isovalerate
42,0.0093968161488378,Caecum,Isovalerate
7,0.0028130274949726,Caecum,Isovalerate
21,0.0076560226476384,Caecum,Acetate
14,0.0071999516651112,Caecum,Acetate
42,0.0106115692540146,Caecum,Acetate
7,0.00956364925334,Caecum,Acetate
14,0.0111388240752056,Duodenum,Acetate
21,0.0098269301378999,Duodenum,Acetate
42,0.0098506063864129,Duodenum,Acetate
7,0.0067318827363407,Duodenum,Acetate
14,0.0128196605947595,Ileum,Acetate
42,0.0049514224413434,Ileum,Acetate
21,0.0106682966100422,Ileum,Acetate
7,0.0076570182418063,Ileum,Acetate
14,0.0109177116513769,Jejunum,Acetate
21,0.0092983845958658,Jejunum,Acetate
42,0.0088049853356324,Jejunum,Acetate
7,0.0078511064714593,Jejunum,Acetate
21,0.0317445046834056,Caecum,Propionate
14,0.0061840933371114,Caecum,Propionate
42,0.124435327436481,Caecum,Propionate
7,0.005389291681117,Caecum,Propionate
14,0.0073456922800188,Duodenum,Propionate
21,0.0065975004863687,Duodenum,Propionate
42,0.0069989716770726,Duodenum,Propionate
7,0.0048017333740363,Duodenum,Propionate
14,0.0076354525254746,Ileum,Propionate
42,0.0279612682422393,Ileum,Propionate
21,0.0081725668485534,Ileum,Propionate
7,0.0136069669422538,Ileum,Propionate
14,0.0072536248430561,Jejunum,Propionate
21,0.007364199020128,Jejunum,Propionate
42,0.0744310670560737,Jejunum,Propionate
7,0.0061933950397475,Jejunum,Propionate
