taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
medium,Caecum_Day1,1e-06,EX_ribflv_m,-0.00011575703622775895,,ribflv_m,import
medium,Caecum_Day1,1e-06,EX_trp_L_m,-0.001958198647261876,,trp_L_m,import
medium,Caecum_Day1,1e-06,EX_cgly_m,-0.0008233899995562087,,cgly_m,import
medium,Caecum_Day1,1e-06,EX_pydx_m,-9.451546874275542e-05,,pydx_m,import
medium,Caecum_Day1,1e-06,EX_hxan_m,-0.004417409998966927,,hxan_m,import
medium,Caecum_Day1,1e-06,EX_csn_m,-0.0029364399993725564,,csn_m,import
medium,Caecum_Day1,1e-06,EX_thm_m,-7.939699988890476e-05,,thm_m,import
medium,Caecum_Day1,1e-06,EX_pydxn_m,-3.096499349798463e-05,,pydxn_m,import
medium,Caecum_Day1,1e-06,EX_zn2_m,-0.0001254804654326503,,zn2_m,import
medium,Caecum_Day1,1e-06,EX_arg_L_m,-0.016789493442087765,,arg_L_m,import
medium,Caecum_Day1,1e-06,EX_thymd_m,-0.00023192001416232438,,thymd_m,import
medium,Caecum_Day1,1e-06,EX_MGlcn46_m,0.0009900847244159704,,MGlcn46_m,export
medium,Caecum_Day1,1e-06,EX_fol_m,-0.0001472890978328394,,fol_m,import
medium,Caecum_Day1,1e-06,EX_ura_m,-0.00206977990555656,,ura_m,import
medium,Caecum_Day1,1e-06,EX_ile_L_m,-0.019283428708704798,,ile_L_m,import
medium,Caecum_Day1,1e-06,EX_phe_L_m,-0.0018056000138265773,,phe_L_m,import
medium,Caecum_Day1,1e-06,EX_ocdca_m,-0.0022546550138886423,,ocdca_m,import
medium,Caecum_Day1,1e-06,EX_cobalt2_m,-0.00012549439563442344,,cobalt2_m,import
medium,Caecum_Day1,1e-06,EX_fe2_m,-0.00022504531180290606,,fe2_m,import
medium,Caecum_Day1,1e-06,EX_asn_L_m,-0.0023468000135562633,,asn_L_m,import
medium,Caecum_Day1,1e-06,EX_cl_m,-0.00012548538824144612,,cl_m,import
medium,Caecum_Day1,1e-06,EX_MGlcn100_m,-0.02592642270650207,,MGlcn100_m,import
medium,Caecum_Day1,1e-06,EX_ptrc_m,-7.939701411965323e-05,,ptrc_m,import
medium,Caecum_Day1,1e-06,EX_spmd_m,-7.939701399234839e-05,,spmd_m,import
medium,Caecum_Day1,1e-06,EX_so4_m,-0.00012513643583368598,,so4_m,import
medium,Caecum_Day1,1e-06,EX_MGlcn67_m,-0.01738236460044259,,MGlcn67_m,import
medium,Caecum_Day1,1e-06,EX_tyr_L_m,-0.003148100013704426,,tyr_L_m,import
medium,Caecum_Day1,1e-06,EX_k_m,-0.00012331910857854656,,k_m,import
medium,Caecum_Day1,1e-06,EX_mn2_m,-0.00012551975848129618,,mn2_m,import
medium,Caecum_Day1,1e-06,EX_cys_L_m,-0.0028349123624740124,,cys_L_m,import
medium,Caecum_Day1,1e-06,EX_malt_m,-0.003078965506039721,,malt_m,import
medium,Caecum_Day1,1e-06,EX_MGlcn66_m,0.02592643266797916,,MGlcn66_m,export
medium,Caecum_Day1,1e-06,EX_h2o_m,0.24475234385513617,,h2o_m,export
medium,Caecum_Day1,1e-06,EX_co2_m,0.07513056823118183,,co2_m,export
medium,Caecum_Day1,1e-06,EX_MGlcn114_m,-0.0019801744385712413,,MGlcn114_m,import
medium,Caecum_Day1,1e-06,EX_ca2_m,-0.0001254804645856742,,ca2_m,import
medium,Caecum_Day1,1e-06,EX_dcyt_m,-0.002069790014410471,,dcyt_m,import
medium,Caecum_Day1,1e-06,EX_val_L_m,-0.013387953325137905,,val_L_m,import
medium,Caecum_Day1,1e-06,EX_adn_m,-0.0009943720146196936,,adn_m,import
medium,Caecum_Day1,1e-06,EX_mg2_m,-0.0001246561016095513,,mg2_m,import
medium,Caecum_Day1,1e-06,EX_gam_m,-0.0019867099850909213,,gam_m,import
medium,Caecum_Day1,1e-06,EX_pnto_R_m,-0.00040047999825939027,,pnto_R_m,import
medium,Caecum_Day1,1e-06,EX_ttdca_m,-0.0014186588909081334,,ttdca_m,import
medium,Caecum_Day1,1e-06,EX_cu2_m,-0.00012555698506318418,,cu2_m,import
medium,Caecum_Day1,1e-06,EX_dgsn_m,-0.0015076299998689007,,dgsn_m,import
medium,Caecum_Day1,1e-06,EX_dad_2_m,-0.00016273001462348546,,dad_2_m,import
medium,Caecum_Day1,1e-06,EX_fe3_m,-0.0002565176821921149,,fe3_m,import
medium,Caecum_Day1,1e-06,EX_sucr_m,-0.00036018957537143026,,sucr_m,import
medium,Caecum_Day1,1e-06,EX_acnam_m,-0.0018495200138769594,,acnam_m,import
medium,Caecum_Day1,1e-06,EX_26dap_M_m,-0.0006225270142212645,,26dap_M_m,import
medium,Caecum_Day1,1e-06,EX_MGlcn78_m,0.0009900847244159873,,MGlcn78_m,export
medium,Caecum_Day1,1e-06,EX_gthrd_m,-3.096499981331052e-05,,gthrd_m,import
medium,Caecum_Day1,1e-06,EX_hdca_m,-0.0003153248856579652,,hdca_m,import
medium,Caecum_Day1,1e-06,EX_nac_m,0.011602543466251277,,nac_m,export
medium,Caecum_Day1,1e-06,EX_oxa_m,0.027123842132545223,,oxa_m,export
medium,Caecum_Day1,1e-06,EX_nmn_m,-0.011602547999700646,,nmn_m,import
medium,Caecum_Day1,1e-06,EX_glyc3p_m,-0.012421545013570734,,glyc3p_m,import
medium,Caecum_Day1,1e-06,EX_MGlcn68_m,0.017382347181793704,,MGlcn68_m,export
medium,Caecum_Day1,1e-06,EX_ins_m,-0.001439700014564363,,ins_m,import
medium,Caecum_Day1,1e-06,EX_leu_L_m,-0.018901722523133158,,leu_L_m,import
medium,Caecum_Day1,1e-06,EX_cytd_m,-0.0020697600143925418,,cytd_m,import
medium,Caecum_Day1,1e-06,EX_gsn_m,-0.0015975150146162347,,gsn_m,import
medium,Caecum_Day1,1e-06,EX_acgam_m,-0.0019867100130409924,,acgam_m,import
medium,Caecum_Day1,1e-06,EX_orn_m,-0.0024670000140897424,,orn_m,import
medium,Caecum_Day1,1e-06,EX_lys_L_m,-0.0033026666808948038,,lys_L_m,import
medium,Caecum_Day1,1e-06,EX_gln_L_m,-0.0092827390139353,,gln_L_m,import
medium,Caecum_Day1,1e-06,EX_met_L_m,-0.005452172594636656,,met_L_m,import
medium,Caecum_Day1,1e-06,EX_gua_m,-0.0016774149998317787,,gua_m,import
medium,Caecum_Day1,1e-06,EX_pi_m,-0.015175645992591295,,pi_m,import
medium,Caecum_Day1,1e-06,EX_his_L_m,-0.011923598167086423,,his_L_m,import
medium,Caecum_Day21,1e-06,EX_ribflv_m,-3.625486155762364e-05,,ribflv_m,import
medium,Caecum_Day21,1e-06,EX_cgly_m,-0.000823390002634321,,cgly_m,import
medium,Caecum_Day21,1e-06,EX_pydx_m,-0.0001316635340720176,,pydx_m,import
medium,Caecum_Day21,1e-06,EX_hxan_m,-7.865905434545597e-05,,hxan_m,import
medium,Caecum_Day21,1e-06,EX_thm_m,-7.93970026881244e-05,,thm_m,import
medium,Caecum_Day21,1e-06,EX_fru_m,0.0024500011208391285,,fru_m,export
medium,Caecum_Day21,1e-06,EX_glcur_m,3.7511926691491042e-06,,glcur_m,export
medium,Caecum_Day21,1e-06,EX_cit_m,0.0032406873635951084,,cit_m,export
medium,Caecum_Day21,1e-06,EX_zn2_m,-0.00020024000247111776,,zn2_m,import
medium,Caecum_Day21,1e-06,EX_gcald_m,1.0145562456989435e-05,,gcald_m,export
