compartment_yeast,day,yeast,average_weighted_mtype,organism,ncbiid,kingdom,phylum,class,order,family,genus,file
Caecum,1,Alternaria_FERA_1082_GCA_004154745.1,0.000119697,Alternaria tenuissima,119927,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_tenuissima_FERA_1082_GCA_004154745.1.json
Caecum,1,Alternaria_FERA_1164_GCA_004156015.1,-0.0000908,Alternaria tenuissima,119927,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_tenuissima_FERA_1164_GCA_004156015.1.json
Caecum,1,Alternaria_FERA_1177_GCA_004154755.1,-0.000114666,Alternaria alternata,5599,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_alternata_FERA_1177_GCA_004154755.1.json
Caecum,1,Alternaria_FERA_24350_GCA_004154735.1,0.000119108,Alternaria tenuissima,119927,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_tenuissima_FERA_24350_GCA_004154735.1.json
Caecum,1,Alternaria_FERA_635_GCA_004168565.1,-0.000143173,Alternaria tenuissima,119927,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_tenuissima_FERA_635_GCA_004168565.1.json
Caecum,1,Alternaria_MG1_GCA_003574525.1,-0.000110889,Alternaria sp.,1715220,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_sp._MG1_GCA_003574525.1.json
Caecum,1,Aspergillus_100_8_gca_000691885.Aspergillus_oryzae_100,-0.0000988,Aspergillus oryzae,5062,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_oryzae_100_8_gca_000691885.Aspergillus_oryzae_100.json
Caecum,1,Aspergillus_3_042_gca_000269785.AspOry3042,-0.0000941,Aspergillus oryzae,5062,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_oryzae_3_042_gca_000269785.AspOry3042.json
Caecum,1,Aspergillus_ATCC_13496_GCA_003344705.1,0.000113245,Aspergillus niger,5061,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_niger_ATCC_13496_GCA_003344705.1.json
Caecum,1,Aspergillus_ATCC_16872_GCF_001890905.1,-0.0000881,Aspergillus aculeatus,5053,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_aculeatus_ATCC_16872_GCF_001890905.1.json
Caecum,1,Aspergillus_CA14_GCA_003709025.1,-0.00020072,Aspergillus flavus,5059,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_flavus_CA14_GCA_003709025.1.json
Caecum,1,Aspergillus_CBS_101883_GCF_003184595.1,-0.0000978,Aspergillus niger,5061,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_niger_CBS_101883_GCF_003184595.1.json
Caecum,1,Aspergillus_CBS_101889_GCA_003184865.1,-0.000102899,Aspergillus homomorphus,319626,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_homomorphus_CBS_101889_GCA_003184865.1.json
Caecum,1,Aspergillus_CBS_114.51_GCF_003184785.1,-0.0000949,Aspergillus japonicus,34381,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_japonicus_CBS_114.51_GCF_003184785.1.json
Caecum,1,Aspergillus_CBS_117626_GCA_009193485.1,-0.000193156,Aspergillus tamarii,41984,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_tamarii_CBS_117626_GCA_009193485.1.json
Caecum,1,Aspergillus_CBS_121591_GCF_003184745.1,-0.000150234,Aspergillus uvarum,446911,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_uvarum_CBS_121591_GCF_003184745.1.json
Caecum,1,Aspergillus_CBS_130017_GCA_009193525.1,-0.000204791,Aspergillus sergii,1034303,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_sergii_CBS_130017_GCA_009193525.1.json
Caecum,1,Aspergillus_CBS_139.54b_GCF_003344945.1,-0.0000922,Aspergillus welwitschiae,1341132,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_welwitschiae_CBS_139.54b_GCF_003344945.1.json
Caecum,1,Aspergillus_CBS_313.89_GCA_003184825.1,0.000127637,Aspergillus fijiensis,1191702,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_fijiensis_CBS_313.89_GCA_003184825.1.json
Caecum,1,Aspergillus_CBS_553.77_GCA_009193565.1,-0.000178861,Aspergillus coremiiformis,138285,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_coremiiformis_CBS_553.77_GCA_009193565.1.json
Caecum,1,Aspergillus_CBS_763.97_GCA_009193585.1,-0.000200558,Aspergillus caelatus,61420,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_caelatus_CBS_763.97_GCA_009193585.1.json
Caecum,1,Aspergillus_HMR_AF_1038_GCA_002234975.2,-0.0000903,Aspergillus turcosus,1245748,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_turcosus_HMR_AF_1038_GCA_002234975.2.json
Caecum,1,Aspergillus_HMR_AF_23_GCA_002234965.2,0.00011922,Aspergillus turcosus,1245748,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_turcosus_HMR_AF_23_GCA_002234965.2.json
Caecum,1,Aspergillus_IBT_18842_GCA_009193465.1,-0.00020204,Aspergillus avenaceus,36643,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_avenaceus_IBT_18842_GCA_009193465.1.json
Caecum,1,Aspergillus_IBT_28561_GCF_002847485.1,-0.000100381,Aspergillus campestris,41068,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_campestris_IBT_28561_GCF_002847485.1.json
