sample_id,Strain,Relative Change
Cecum_Day1,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.10937957539788457
Cecum_Day21,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.2452306911947022
Cecum_Day35,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.8146610059841335
Cecum_Day7,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,-0.5955906948597547
Duodenum_Day21,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,-0.02458375582178629
Duodenum_Day35,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.05082173177511162
Duodenum_Day7,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,-0.051122544467414155
Feces_Day1,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,-0.30116150377041384
Feces_Day21,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.42570595978612236
Feces_Day35,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,-0.09336469577766793
Feces_Day7,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,-0.44093822830585183
Cecum_Day1,Fusarium_et1_gca_900067095.F._proliferatum_ET1_version_1,0.11300627523793194
Cecum_Day21,Fusarium_et1_gca_900067095.F._proliferatum_ET1_version_1,0.2527941534846314
Cecum_Day35,Fusarium_et1_gca_900067095.F._proliferatum_ET1_version_1,0.7360499624260199
Cecum_Day7,Fusarium_et1_gca_900067095.F._proliferatum_ET1_version_1,-0.013428647229584145
Duodenum_Day21,Fusarium_et1_gca_900067095.F._proliferatum_ET1_version_1,-0.03543909027788894
Duodenum_Day35,Fusarium_et1_gca_900067095.F._proliferatum_ET1_version_1,-0.023649903437340303
Duodenum_Day7,Fusarium_et1_gca_900067095.F._proliferatum_ET1_version_1,-0.04998700370261311
Feces_Day1,Fusarium_et1_gca_900067095.F._proliferatum_ET1_version_1,-0.10037254217521108
Feces_Day21,Fusarium_et1_gca_900067095.F._proliferatum_ET1_version_1,0.24578153679411896
Feces_Day35,Fusarium_et1_gca_900067095.F._proliferatum_ET1_version_1,0.20344543007002835
Feces_Day7,Fusarium_et1_gca_900067095.F._proliferatum_ET1_version_1,-0.5099779184229936
Cecum_Day1,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,-0.029056678951215886
Cecum_Day21,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,0.2828147052881729
Cecum_Day35,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,0.6717051959669169
Cecum_Day7,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,-0.027131472661232392
Duodenum_Day21,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,-0.07002905284709371
Duodenum_Day35,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,0.006773389884423331
Duodenum_Day7,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,-0.08939648853451798
Feces_Day1,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,-0.12545537605449608
Feces_Day21,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,0.3342460170538466
Feces_Day35,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,-0.19580714461229487
Feces_Day7,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,-0.7408733898731705
Cecum_Day1,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1,-0.07426898096852774
Cecum_Day21,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1,0.3255675800497744
Cecum_Day35,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1,0.774384086842314
Cecum_Day7,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1,0.021250355603181115
Duodenum_Day21,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1,-0.012137471624422691
Duodenum_Day35,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1,-0.017349816440558552
