compartment_yeast,day,yeast,average_weighted_mtype
Cecum,1,Alternaria_FERA_1082_GCA_004154745.1,0.00011969675739084665
Cecum,1,Alternaria_FERA_1164_GCA_004156015.1,-9.07655481095042e-05
Cecum,1,Alternaria_FERA_1177_GCA_004154755.1,-0.00011466558729794629
Cecum,1,Alternaria_FERA_24350_GCA_004154735.1,0.00011910832768485317
Cecum,1,Alternaria_FERA_635_GCA_004168565.1,-0.0001431730791357337
Cecum,1,Alternaria_MG1_GCA_003574525.1,-0.00011088861892899098
Cecum,1,Aspergillus_100_8_gca_000691885.Aspergillus_oryzae_100,-9.8813601535467e-05
Cecum,1,Aspergillus_3_042_gca_000269785.AspOry3042,-9.406405862699059e-05
Cecum,1,Aspergillus_ATCC_13496_GCA_003344705.1,0.00011324473907321137
Cecum,1,Aspergillus_ATCC_16872_GCF_001890905.1,-8.810814943114234e-05
Cecum,1,Aspergillus_CA14_GCA_003709025.1,-0.0002007204378641001
Cecum,1,Aspergillus_CBS_101883_GCF_003184595.1,-9.781456127255539e-05
Cecum,1,Aspergillus_CBS_101889_GCA_003184865.1,-0.00010289945159106175
Cecum,1,Aspergillus_CBS_114.51_GCF_003184785.1,-9.490251157985318e-05
Cecum,1,Aspergillus_CBS_117626_GCA_009193485.1,-0.00019315634365933433
Cecum,1,Aspergillus_CBS_121591_GCF_003184745.1,-0.00015023429589396
Cecum,1,Aspergillus_CBS_130017_GCA_009193525.1,-0.0002047913610110536
Cecum,1,Aspergillus_CBS_139.54b_GCF_003344945.1,-9.216535265668698e-05
Cecum,1,Aspergillus_CBS_313.89_GCA_003184825.1,0.00012763737685298228
Cecum,1,Aspergillus_CBS_553.77_GCA_009193565.1,-0.0001788612835167663
Cecum,1,Aspergillus_CBS_763.97_GCA_009193585.1,-0.00020055760726500114
Cecum,1,Aspergillus_HMR_AF_1038_GCA_002234975.2,-9.033083642586249e-05
Cecum,1,Aspergillus_HMR_AF_23_GCA_002234965.2,0.00011922036178550092
Cecum,1,Aspergillus_IBT_18842_GCA_009193465.1,-0.00020204006541784766
Cecum,1,Aspergillus_IBT_28561_GCF_002847485.1,-0.00010038135276650794
Cecum,1,Aspergillus_IBT_29228_GCA_009193595.1,-9.332208666316349e-05
Cecum,1,Aspergillus_IFM_58123_GCA_003850985.1,-0.00010082863112687298
Cecum,1,Aspergillus_NIH2624_GCF_000149615.1,-0.00017308596249695368
Cecum,1,Aspergillus_NRRL3357_GCF_000006275.2,-0.00020396901815675333
Cecum,1,Aspergillus_RIB40_GCF_000184455.2,-4.4688430205988024e-05
Cecum,1,Aspergillus_af70_gca_000952835.ASM95283v1,-0.00020653136569469233
Cecum,1,Aspergillus_atcc_1015_gca_000230395.ASPNI_v3.0,0.0001336997119882328
Cecum,1,Aspergillus_cbs_101740_gca_001889945.Aspbr1,0.00013020699468721384
Cecum,1,Aspergillus_cbs_113365_gca_003184925.Aspvad1,-9.552544827473267e-05
Cecum,1,Aspergillus_cbs_115572_gca_003184525.Aspscl1,-0.0001042686934271451
Cecum,1,Aspergillus_cbs_134_48_gca_001890745.Asptu1,-0.00010364128338212975
Cecum,1,Aspergillus_cbs_583_65_gca_001890125.Aspve1,0.00010573017248061164
Cecum,1,Aspergillus_dto_134e9_gca_001890725.Aspwe1,-9.56751721293216e-05
Cecum,1,Aspergillus_gca_001515345.ASM151534v1,-0.00010976248345766516
Cecum,1,Aspergillus_gca_001717485.ASM171748v1,-0.00015104938725844086
Cecum,1,Aspergillus_gca_002234965.ASM223496v1,0.00012416814758817285
Cecum,1,Aspergillus_ibt_23096_gca_002849105.Aspste1,-0.0001785443384522378
Cecum,1,Aspergillus_z5_gca_001029325.ASM102932v1,-9.92649638594829e-05
Cecum,1,Aureobasidium_EXF,-8.96609348600954e-05
Cecum,1,Aureobasidium_cbs_110374_gca_000721775.Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0,-9.458621707277404e-05
Cecum,1,Candida_ATCC_20962_GCA_003327735.1,-0.00013337200599794618
Cecum,1,Candida_p60002_gca_000784525.Cand_albi_P60002_V1,8.101431823929277e-05
Cecum,1,Cercospora_gca_002933655.Cbert_1,-8.695912623921655e-05
Cecum,1,Clavispora_P2_GCA_009498075.1,0.00012872409593805205
Cecum,1,Clavispora_P4_GCA_009498135.1,-0.00010468027010893509
Cecum,1,Clavispora_P5_GCA_009498115.1,-8.776898057211642e-05
Cecum,1,Colletotrichum_CBS_518.97_GCA_004367935.1,-0.00011347440195245224
